Date_________JDUT     R.A._(J2000.0)_DEC.            delta      deldot
**********************************************************************
$$SOE
2456760.500000000      70.90739  22.49787 1.30229257475819   0.1267008
2456761.500000000      71.95035  22.60614 1.30236171696884   0.1128107
2456762.500000000      72.99478  22.70766 1.30242300321411   0.0994979
2456763.500000000      74.04059  22.80238 1.30247676275677   0.0867428
2456764.500000000      75.08771  22.89026 1.30252330571081   0.0744986
2456765.500000000      76.13603  22.97127 1.30256290582582   0.0626865
2456766.500000000      77.18549  23.04537 1.30259578280770   0.0511989
2456767.500000000      78.23598  23.11252 1.30262208783533   0.0399073
2456768.500000000      79.28744  23.17271 1.30264189396520   0.0286719
2456769.500000000      80.33976  23.22590 1.30265519249030   0.0173519
2456770.500000000      81.39287  23.27208 1.30266189756590   0.0058202
2456771.500000000      82.44665  23.31122 1.30266185378547  -0.0060328
2456772.500000000      83.50102  23.34330 1.30265485135669  -0.0182857
2456773.500000000      84.55587  23.36832 1.30264064468129  -0.0309823
2456774.500000000      85.61109  23.38627 1.30261897510728  -0.0441241
2456775.500000000      86.66657  23.39712 1.30258959430726  -0.0576741
2456776.500000000      87.72220  23.40089 1.30255228651423  -0.0715579
2456777.500000000      88.77784  23.39758 1.30250688591811  -0.0856788
2456778.500000000      89.83338  23.38717 1.30245328751735  -0.0999252
2456779.500000000      90.88870  23.36969 1.30239203676117  -0.1141859
2456780.500000000      91.94367  23.34513 1.30232198450717  -0.1283577
2456781.500000000      92.99817  23.31351 1.30224379454406  -0.1423500
2456782.500000000      94.05208  23.27485 1.30215759356928  -0.1560851
2456783.500000000      95.10528  23.22916 1.30206354970235  -0.1694968
2456784.500000000      96.15765  23.17646 1.30196186713788  -0.1825258
2456785.500000000      97.20908  23.11679 1.30185278299020  -0.1951167
2456786.500000000      98.25945  23.05015 1.30173656620203  -0.2072143
2456787.500000000      99.30866  22.97660 1.30161351831692  -0.2187607
2456788.500000000     100.35660  22.89615 1.30148397451085  -0.2296975
2456789.500000000     101.40317  22.80885 1.30134830355508  -0.2399681
2456790.500000000     102.44827  22.71474 1.30120690440783  -0.2495257
2456791.500000000     103.49182  22.61384 1.30106019959272  -0.2583408
2456792.500000000     104.53371  22.50621 1.30090861465552  -0.2664249
2456793.500000000     105.57388  22.39189 1.30075256209595  -0.2738221
2456794.500000000     106.61225  22.27093 1.30059241442158  -0.2806236
2456795.500000000     107.64874  22.14338 1.30042847965909  -0.2869599
2456796.500000000     108.68331  22.00928 1.30026098245178  -0.2929859
2456797.500000000     109.71589  21.86870 1.30009005526117  -0.2988633
